Country,Confirmed_Cases,Suspected_Cases,Hospitalized,Travel_History_Yes,Travel_History_No
England,1285.0,0.0,5.0,2.0,7.0
Portugal,433.0,0.0,0.0,0.0,34.0
Spain,1258.0,0.0,11.0,2.0,0.0
United States,604.0,0.0,4.0,20.0,1.0
Canada,349.0,9.0,1.0,2.0,0.0
Sweden,28.0,0.0,0.0,0.0,0.0
Italy,233.0,1.0,18.0,19.0,4.0
France,577.0,1.0,1.0,2.0,1.0
Belgium,168.0,1.0,2.0,1.0,0.0
Australia,17.0,0.0,2.0,8.0,0.0
Germany,1242.0,0.0,18.0,18.0,15.0
Netherlands,352.0,0.0,0.0,1.0,0.0
Israel,52.0,0.0,3.0,5.0,0.0
Switzerland,131.0,0.0,0.0,3.0,0.0
Greece,7.0,0.0,2.0,2.0,0.0
Austria,37.0,0.0,2.0,1.0,0.0
Argentina,6.0,0.0,0.0,5.0,1.0
Denmark,18.0,0.0,0.0,3.0,1.0
Morocco,1.0,0.0,0.0,1.0,0.0
Slovenia,12.0,0.0,0.0,2.0,0.0
Scotland,40.0,0.0,1.0,1.0,0.0
Czech Republic,8.0,0.0,1.0,2.0,0.0
United Arab Emirates,13.0,0.0,0.0,1.0,0.0
Finland,10.0,0.0,0.0,3.0,0.0
Wales,15.0,0.0,0.0,0.0,0.0
Northern Ireland,11.0,0.0,0.0,0.0,0.0
Sudan,0.0,1.0,0.0,0.0,0.0
Bolivia,0.0,1.0,1.0,0.0,1.0
Iran,0.0,3.0,0.0,0.0,0.0
Ecuador,1.0,0.0,1.0,0.0,0.0
Malta,4.0,0.0,0.0,1.0,0.0
Ireland,44.0,0.0,0.0,0.0,0.0
Mexico,11.0,0.0,0.0,2.0,0.0
Pakistan,0.0,1.0,1.0,0.0,0.0
French Guiana,0.0,0.0,0.0,0.0,0.0
Thailand,0.0,0.0,0.0,0.0,0.0
Peru,15.0,0.0,1.0,1.0,0.0
Brazil,106.0,10.0,2.0,16.0,3.0
Malaysia,0.0,0.0,0.0,0.0,0.0
Hungary,19.0,0.0,0.0,0.0,0.0
Norway,22.0,0.0,0.0,3.0,0.0
Paraguay,0.0,0.0,0.0,1.0,0.0
Costa Rica,0.0,0.0,0.0,1.0,0.0
Gibraltar,1.0,0.0,1.0,0.0,0.0
Mauritius,0.0,0.0,0.0,2.0,1.0
Haiti,0.0,1.0,0.0,0.0,0.0
Uruguay,0.0,1.0,0.0,4.0,0.0
Latvia,2.0,0.0,0.0,1.0,0.0
Cayman Islands,0.0,1.0,0.0,0.0,0.0
Kosovo,0.0,0.0,1.0,0.0,0.0
Turkey,1.0,0.0,0.0,0.0,0.0
Bahamas,0.0,0.0,0.0,1.0,0.0
Ghana,18.0,0.0,0.0,0.0,0.0
India,0.0,0.0,0.0,0.0,0.0
Iceland,4.0,0.0,0.0,1.0,0.0
Poland,12.0,0.0,1.0,0.0,0.0
Bangladesh,0.0,0.0,0.0,0.0,0.0
Uganda,0.0,6.0,0.0,0.0,0.0
Cambodia,0.0,0.0,0.0,0.0,0.0
Malawi,0.0,0.0,0.0,0.0,0.0
Venezuela,1.0,0.0,0.0,1.0,0.0
Romania,11.0,0.0,2.0,0.0,0.0
Georgia,1.0,0.0,0.0,0.0,0.0
Slovakia,0.0,0.0,1.0,1.0,0.0
Luxembourg,3.0,0.0,0.0,0.0,0.0
Nepal,0.0,0.0,1.0,1.0,0.0
Chile,9.0,1.0,2.0,2.0,0.0
Serbia,1.0,0.0,0.0,0.0,0.0
Lebanon,1.0,0.0,0.0,1.0,0.0
South Korea,1.0,0.0,1.0,1.0,0.0
Singapore,2.0,0.0,1.0,0.0,0.0
South Africa,2.0,0.0,0.0,0.0,2.0
Taiwan,1.0,0.0,0.0,1.0,0.0
Colombia,5.0,0.0,0.0,3.0,0.0
Croatia,1.0,0.0,0.0,1.0,0.0
Bulgaria,3.0,0.0,0.0,2.0,0.0
Somalia,0.0,3.0,3.0,1.0,0.0
Zambia,0.0,1.0,0.0,1.0,0.0
Fiji,0.0,0.0,0.0,0.0,0.0
Benin,3.0,0.0,0.0,2.0,1.0
Estonia,1.0,0.0,0.0,1.0,0.0
Puerto Rico,1.0,0.0,0.0,0.0,0.0
Panama,1.0,0.0,0.0,0.0,0.0
Dominican Republic,0.0,1.0,0.0,1.0,0.0
